flow,flow_label,page,section,section_label,errors,warnings
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,marcacao,Marcação,178,1694
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,comportamento,Comportamento,0,16
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,conteudo,Conteúdo/Informação,252,120
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,apresentacao,Apresentação / Design,0,5
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,multimidia,Multimídia,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Home Receita,formularios,Formulários,1,105
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,marcacao,Marcação,106,1478
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,comportamento,Comportamento,0,14
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,conteudo,Conteúdo/Informação,69,22
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,apresentacao,Apresentação / Design,0,5
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,multimidia,Multimídia,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Atendimento Presencial,formularios,Formulários,1,105
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,marcacao,Marcação,106,1461
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,comportamento,Comportamento,0,14
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,conteudo,Conteúdo/Informação,69,21
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,apresentacao,Apresentação / Design,0,5
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,multimidia,Multimídia,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades MG,formularios,Formulários,1,105
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,marcacao,Marcação,106,1469
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,comportamento,Comportamento,0,12
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,conteudo,Conteúdo/Informação,69,22
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,apresentacao,Apresentação / Design,0,5
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,multimidia,Multimídia,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Unidades BH,formularios,Formulários,1,105
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,marcacao,Marcação,10,45
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,comportamento,Comportamento,2,1
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,conteudo,Conteúdo/Informação,6,8
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,apresentacao,Apresentação / Design,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,multimidia,Multimídia,0,0
BuscaUnidadesAtendimento,T3: Receita Federal,Buscador de Unidades,formularios,Formulários,0,1
ConsultaCenso,T4: IBGE Censo,Portal IBGE,marcacao,Marcação,34,285
ConsultaCenso,T4: IBGE Censo,Portal IBGE,comportamento,Comportamento,1,7
ConsultaCenso,T4: IBGE Censo,Portal IBGE,conteudo,Conteúdo/Informação,38,21
ConsultaCenso,T4: IBGE Censo,Portal IBGE,apresentacao,Apresentação / Design,1,4
ConsultaCenso,T4: IBGE Censo,Portal IBGE,multimidia,Multimídia,0,0
ConsultaCenso,T4: IBGE Censo,Portal IBGE,formularios,Formulários,1,7
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,marcacao,Marcação,6,1517
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,comportamento,Comportamento,1,2
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,conteudo,Conteúdo/Informação,17,4
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,apresentacao,Apresentação / Design,0,0
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,multimidia,Multimídia,0,0
ConsultaCenso,T4: IBGE Censo,Panorama Censo 2022,formularios,Formulários,0,0
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,marcacao,Marcação,113,1463
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,comportamento,Comportamento,0,13
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,conteudo,Conteúdo/Informação,135,27
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,apresentacao,Apresentação / Design,0,0
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,multimidia,Multimídia,0,0
ConsultaMapaDeEMpresas,T5: Mapa de Empresas,Mapa de Empresas,formularios,Formulários,1,104
ConsultaMonitoramentoServicos,T2: Painel de Monitoramento,Home Gov Digital,marcacao,Marcação,142,1637
ConsultaMonitoramentoServicos,T2: Painel de Monitoramento,Home Gov Digital,comportamento,Comportamento,0,16
ConsultaMonitoramentoServicos,T2: Painel de Monitoramento,Home Gov Digital,conteudo,Conteúdo/Informação,163,61
ConsultaMonitoramentoServicos,T2: Painel de Monitoramento,Home Gov Digital,apresentacao,Apresentação / Design,0,0
